no2,elevation,population,landuse,road_density
0.16792047,0.15308094,0.028250061,0.81818175,0.0
0.1719147,0.15512037,0.038514636,0.87500024,0.0
0.17501867,0.15982842,0.048267037,0.9318185,0.0
0.1779195,0.16038752,0.056440525,0.784091,0.0
0.18061769,0.16329527,0.06055694,0.72727275,0.0
0.18166018,0.16580701,0.05968918,0.56818175,0.0
0.18104696,0.16649961,0.055511054,0.37500024,0.0
0.18020773,0.1627233,0.0472218,0.18181825,0.0
0.17914212,0.16034436,0.035838544,0.2045455,0.0
0.17568326,0.15789795,0.026254177,0.2386365,0.0
0.16983128,0.156111,0.01904551,0.34090948,0.0
0.16961646,0.15461302,0.012738795,0.47727275,0.0
0.17503893,0.15365577,0.008562641,0.61363673,0.0
0.17694438,0.15338707,0.006729413,0.71590924,0.0
0.17533326,0.1520598,0.005832933,0.71590924,0.0
0.17205107,0.15007687,0.004997477,0.71590924,0.0
0.16709793,0.14828753,0.0052935686,0.71590924,0.0
0.16307938,0.14914012,0.0058415877,0.71590924,0.0
0.15999532,0.14975715,0.007295048,0.71590924,0.0
0.15788102,0.14946914,0.009295622,0.71590924,0.0
0.15673637,0.15244389,0.009517612,0.71590924,0.0
0.15514421,0.15331602,0.0077043036,0.71590924,0.0
0.1531043,0.15158439,0.0057358174,0.71590924,0.0
0.14846599,0.15034294,0.004133457,0.71590924,0.0
0.14122915,0.1511221,0.0022382578,0.71590924,0.0
0.13379788,0.14910412,0.0015403465,0.71590924,0.0
0.12617177,0.14931607,0.0012453692,0.71590924,0.0
0.12075466,0.14854169,0.0011294852,0.71590924,0.0
0.11754638,0.14653635,0.001156148,0.6818185,0.0
0.11525923,0.14614606,0.001269172,0.71590924,0.0
0.11389321,0.15367246,0.009315801,0.76136374,0.0
0.11266661,0.16869473,0.012876858,0.7386365,0.0
0.111579716,0.18472528,0.011154696,0.7386365,0.0
0.10994834,0.20181203,0.009056447,0.77272725,0.0
0.10777247,0.21584201,0.007541232,0.7386365,0.0
0.10560995,0.22348762,0.0056091705,0.693182,0.0
0.10346067,0.2239871,0.004221449,0.71590924,0.0
0.10006577,0.22570872,0.00370812,0.71590924,0.0
0.09542537,0.22749496,0.0039703595,0.71590924,0.0
0.09165436,0.22916245,0.0046094838,0.61363673,0.0
0.08875275,0.23084211,0.0047154436,0.61363673,0.0
0.08465356,0.23229933,0.0044525354,0.61363673,0.0
0.07935667,0.23324132,0.004826742,0.61363673,0.0
0.07568091,0.23677278,0.005824534,0.57954574,0.0
0.07362628,0.23759127,0.006182906,0.6818185,0.0
0.07198143,0.23779607,0.0059624705,0.6818185,0.0
0.07074648,0.23779178,0.0052262517,0.6818185,0.0
0.070654035,0.23671293,0.0039483854,0.6818185,0.0
0.07170403,0.23409724,0.0023577507,0.71590924,0.0
0.0700897,0.23532557,0.0012801848,0.71590924,0.0
0.0658111,0.23513532,0.00081631145,0.71590924,0.0
0.06384444,0.23191142,0.00069817365,0.71590924,0.0
0.06418973,0.2283001,0.0005383757,0.71590924,0.0
0.06279868,0.22501779,0.00027705426,0.71590924,0.0
0.059671223,0.22231698,5.7599507e-05,0.71590924,0.0
0.057364523,0.21959615,7.400219e-05,0.71590924,0.0
0.0558787,0.21942425,0.0011993013,0.75,0.0
0.05458069,0.2200923,0.0033165044,0.6477275,0.0
0.05347061,0.21817636,0.0054254327,0.5454545,0.0
0.05334997,0.21230888,0.0066478383,0.5454545,0.0
0.05421871,0.20469809,0.0068848655,0.5454545,0.0
0.05457729,0.19609356,0.005898053,0.51136374,0.0
0.054425716,0.18599463,0.0039115143,0.61363673,0.0
0.054623246,0.1746738,0.002018413,0.71590924,0.0
0.05516994,0.16385531,0.0010163458,0.71590924,0.0
0.054478884,0.1534195,0.00085599395,0.71590924,0.0
0.0525499,0.14806128,0.0009051752,0.71590924,0.0
0.050791085,0.1421678,0.0010469798,0.71590924,0.0
0.049202442,0.1364212,0.0011298629,0.71590924,0.0
0.00457865,0.22058845,0.0066938726,0.71590924,0.0
0.005202532,0.22041607,0.008710333,0.71590924,0.0
0.006450355,0.22091699,0.010907315,0.71590924,0.0
0.008627117,0.22139525,0.012629751,0.71590924,0.0
0.011732876,0.2213471,0.015450264,0.71590924,0.0
0.014359951,0.22199774,0.016335081,0.71590924,0.0
0.016508162,0.222754,0.014742431,0.71590924,0.0
0.01892656,0.22434473,0.011858336,0.71590924,0.0
0.021615088,0.22614717,0.008951249,0.71590924,0.0
0.022646666,0.22739267,0.006044319,0.67045474,0.0
0.022021234,0.22810292,0.0046447692,0.67045474,0.0
0.022611916,0.22883892,0.0051035807,0.67045474,0.0
0.02441883,0.22869039,0.0051111476,0.67045474,0.0
0.026067972,0.22968626,0.004616861,0.67045474,0.0
0.02755934,0.23279905,0.0040598195,0.71590924,0.0
0.029978633,0.23662019,0.002795732,0.71590924,0.0
0.03332579,0.23953342,0.0017570062,0.71590924,0.0
0.036004186,0.24122071,0.0014455141,0.71590924,0.0
0.038013697,0.24234557,0.0014644079,0.71590924,0.0
0.040552497,0.24261165,0.0015851697,0.71590924,0.0
0.043620408,0.24311113,0.0018580952,0.71590924,0.0
0.045828223,0.24368954,0.0022752602,0.71590924,0.0
0.047175765,0.24375534,0.0029599704,0.71590924,0.0
0.04899603,0.24163985,0.0038928157,0.71590924,0.0
0.051288784,0.2398026,0.0048738616,0.71590924,0.0
0.053760707,0.23877239,0.0058126347,0.71590924,0.0
0.056411564,0.2373159,0.006675833,0.71590924,0.0
0.057956755,0.23715901,0.006872097,0.71590924,0.0
0.05839616,0.238935,0.0061396966,0.71590924,0.0
0.060090125,0.24035215,0.0052849026,0.71590924,0.0
0.06303865,0.24062681,0.004766133,0.71590924,0.0
0.06548232,0.24371362,0.0045317123,0.71590924,0.0
0.06742114,0.24617124,0.00675393,0.71590924,0.0
0.068939865,0.24715781,0.009326345,0.71590924,0.0
0.07003832,0.24770856,0.010875487,0.71590924,0.0
0.07120925,0.2472117,0.010676088,0.71590924,0.0
0.072452605,0.24286795,0.009999512,0.71590924,0.0
0.07369363,0.23871255,0.008595951,0.71590924,0.0
0.0749324,0.23654604,0.0076189563,0.71590924,0.0
0.0767144,0.23287487,0.006877361,0.71590924,0.0
0.07903957,0.22978663,0.007120736,0.71590924,0.0
0.08100039,0.22809291,0.008371393,0.71590924,0.0
0.0825969,0.22921824,0.009059411,0.71590924,0.0
0.08173984,0.22848177,0.008719726,0.71590924,0.0
0.0784291,0.2274704,0.008036039,0.71590924,0.0
0.07703495,0.2278812,0.0071126167,0.71590924,0.0
0.077557325,0.23020458,0.005290487,0.71590924,0.0
0.07941216,0.23095918,0.0033100746,0.71590924,0.0
0.08259952,0.23356843,0.0028023222,0.71590924,0.0
0.086423635,0.23783135,0.004369228,0.71590924,0.0
0.09088457,0.24111891,0.006194951,0.71590924,0.0
0.094729185,0.24384713,0.007351869,0.71590924,0.0
0.09795743,0.2445383,0.0075073848,0.71590924,0.0
0.101599395,0.24346972,0.0070909597,0.71590924,0.0
0.105655015,0.238945,0.0058230916,0.71590924,0.0
0.11024392,0.23077369,0.004247749,0.71590924,0.0
0.1153661,0.2163682,0.0032864818,0.71590924,0.0
0.12252307,0.20128655,0.003701862,0.76136374,0.0
0.13171482,0.18616605,0.004795057,0.76136374,0.0
0.1396265,0.17328215,0.00624991,0.76136374,0.0
0.14625788,0.16325569,0.0075347032,0.76136374,0.0
0.15078068,0.15829301,0.0083307335,0.76136374,0.0
0.15319467,0.15541291,0.009549602,0.71590924,0.0
0.15696836,0.15391064,0.012263671,0.6818185,0.0
0.16210175,0.15512037,0.015522453,0.67045474,0.0
0.16728151,0.15567565,0.019135643,0.70454574,0.0
0.17250776,0.15618181,0.025095947,0.75,0.0
0.17669237,0.15782475,0.032846265,0.7954545,0.0
0.17983544,0.16113281,0.04140014,0.886364,0.0
0.18301427,0.16149211,0.050176412,0.81818175,0.0
0.18622911,0.16465092,0.055839162,0.75,0.0
0.18761158,0.16631174,0.05727234,0.636364,0.0
0.18716156,0.16615081,0.05588746,0.4886365,0.0
0.18666959,0.16270041,0.049009923,0.32954574,0.0
0.18613553,0.16051102,0.037310727,0.34090948,0.0
0.18265176,0.15829802,0.027403109,0.37500024,0.0
0.17621827,0.15761805,0.019922152,0.443182,0.0
0.17380524,0.15690827,0.012749341,0.5454545,0.0
0.17541254,0.15666461,0.007890594,0.6477275,0.0
0.17679095,0.1564188,0.006002309,0.71590924,0.0
0.1779406,0.15458131,0.005120433,0.71590924,0.0
0.17474234,0.15221119,0.0044181705,0.71590924,0.0
0.16719615,0.15016818,0.0048353,0.71590924,0.0
0.16172552,0.15002656,0.005319996,0.71590924,0.0
0.15833044,0.1497047,0.006557907,0.71590924,0.0
0.1554457,0.14961123,0.008414182,0.71590924,0.0
0.15307164,0.15162587,0.008553424,0.71590924,0.0
0.1509918,0.15212774,0.006775491,0.71590924,0.0
0.14920604,0.15123653,0.0050667906,0.71590924,0.0
0.14467382,0.15090919,0.00377482,0.71590924,0.0
0.1373949,0.15185094,0.002086069,0.71590924,0.0
0.13138103,0.15065336,0.0014906256,0.71590924,0.0
0.12663203,0.15080023,0.0012326064,0.71590924,0.0
0.12260753,0.14963269,0.0011371989,0.71590924,0.0
0.11930746,0.14847589,0.001172076,0.6477275,0.0
0.11698955,0.14959955,0.0025158878,0.693182,0.0
0.11565375,0.1579969,0.009525051,0.71590924,0.0
0.1145159,0.17408204,0.011944139,0.693182,0.0
0.113575995,0.19039226,0.01073609,0.693182,0.0
0.112026036,0.20569015,0.0088841645,0.76136374,0.0
0.10986608,0.21778417,0.007481396,0.71590924,0.0
0.10786098,0.22433782,0.005451423,0.693182,0.0
0.106010795,0.22423029,0.0037705214,0.71590924,0.0
0.10377908,0.22645044,0.0029327064,0.71590924,0.0
0.10116595,0.22913027,0.002977918,0.71590924,0.0
0.09774083,0.23138642,0.0033447356,0.6477275,0.0
0.09350371,0.23326945,0.0033364994,0.6477275,0.0
0.08864075,0.23477173,0.0030885478,0.6477275,0.0
0.08315194,0.23520732,0.0033304193,0.6477275,0.0
0.079102635,0.23713255,0.004021981,0.61363673,0.0
0.076492846,0.23766875,0.0042743287,0.6818185,0.0
0.07461017,0.23813725,0.0041289167,0.6818185,0.0
0.07345462,0.23797393,0.0036173766,0.6818185,0.0
0.073290765,0.23657179,0.0026970627,0.6818185,0.0
0.074118435,0.23526025,0.0016032937,0.71590924,0.0
0.07264143,0.23648834,0.0009077231,0.71590924,0.0
0.06885964,0.2360332,0.0006437572,0.71590924,0.0
0.06695384,0.23350191,0.000579491,0.71590924,0.0
0.066924036,0.23120213,0.0004719419,0.71590924,0.0
0.06538135,0.22884417,0.00024141697,0.71590924,0.0
0.062325776,0.22702503,1.8813647e-05,0.71590924,0.0
0.059896886,0.22535515,0.0,0.71590924,0.0
0.05809474,0.22566271,0.0009425082,0.7386365,0.0
0.0566175,0.22631526,0.0028165975,0.67045474,0.0
0.05546528,0.22461009,0.004676049,0.602273,0.0
0.055603683,0.21982074,0.0056731394,0.602273,0.0
0.057032824,0.21284652,0.0058719655,0.602273,0.0
0.057747364,0.20391679,0.005075967,0.57954574,0.0
0.057747245,0.19252181,0.003330031,0.6477275,0.0
0.058220625,0.1798737,0.0016653701,0.71590924,0.0
0.059167325,0.16686821,0.000861899,0.71590924,0.0
0.058831215,0.15479326,0.00073963474,0.71590924,0.0
0.057212174,0.14852238,0.0007549641,0.71590924,0.0
0.055569053,0.14272785,0.0008602715,0.71590924,0.0
0.05390179,0.13716102,0.0009166922,0.71590924,0.0
0.007225752,0.22296858,0.005295856,0.71590924,0.0
0.0076695085,0.22219944,0.006893661,0.71590924,0.0
0.008557081,0.22242999,0.008782944,0.71590924,0.0
0.010029316,0.222713,0.01057802,0.71590924,0.0
0.012086451,0.22209096,0.013393355,0.71590924,0.0
0.01408273,0.22329497,0.014564413,0.71590924,0.0
0.016018212,0.22434235,0.013424796,0.71590924,0.0
0.01829338,0.22614384,0.011037327,0.71590924,0.0
0.020908296,0.22826338,0.008253869,0.71590924,0.0
0.022166848,0.22978377,0.0053490726,0.693182,0.0
0.022069156,0.23075771,0.0037440062,0.693182,0.0
0.022951365,0.2317257,0.0039226916,0.693182,0.0
0.024813473,0.23181748,0.0039131576,0.693182,0.0
0.026681602,0.23279929,0.003584187,0.693182,0.0
0.028555691,0.23562646,0.0031917063,0.71590924,0.0
0.031108439,0.23861527,0.0022451063,0.71590924,0.0
0.034339905,0.24090767,0.0014910516,0.71590924,0.0
0.037072778,0.24243045,0.0013061278,0.71590924,0.0
0.039307,0.24334693,0.0013889209,0.71590924,0.0
0.042068064,0.24358678,0.0015722928,0.71590924,0.0
0.045355737,0.24433827,0.0022822525,0.72727275,0.0
0.04763031,0.24557352,0.003511726,0.72727275,0.0
0.048891783,0.24561167,0.0051274654,0.72727275,0.0
0.05060178,0.24388933,0.0060309814,0.72727275,0.0
0.052760303,0.24314904,0.007047208,0.72727275,0.0
0.055345476,0.24213433,0.008341275,0.6818185,0.0
0.05835724,0.24028563,0.008573104,0.6818185,0.0
0.06042826,0.23986292,0.007592746,0.6818185,0.0
0.061558425,0.2410574,0.0067263106,0.6818185,0.0
0.06345719,0.2412076,0.005904492,0.6818185,0.0
0.0661245,0.24169469,0.004748088,0.71590924,0.0
0.068617165,0.24553919,0.0041949195,0.71590924,0.0
0.07093525,0.24782586,0.006985261,0.71590924,0.0
0.07255471,0.24768543,0.009647135,0.71590924,0.0
0.0734753,0.24766254,0.010929876,0.71590924,0.0
0.07454318,0.24686813,0.010276812,0.71590924,0.0
0.07575816,0.24183106,0.009561907,0.71590924,0.0
0.077005625,0.23806977,0.008096299,0.71590924,0.0
0.078285456,0.23696399,0.007323278,0.71590924,0.0
0.07926518,0.2336266,0.006933119,0.71590924,0.0
0.07994473,0.22990274,0.007576392,0.71590924,0.0
0.08139312,0.22809982,0.009201962,0.71590924,0.0
0.083610296,0.22920513,0.0102263065,0.71590924,0.0
0.083414614,0.22939157,0.010097351,0.71590924,0.0
0.08080608,0.22988605,0.009661705,0.71590924,0.0
0.0798645,0.23187351,0.009149313,0.71590924,0.0
0.08058989,0.23470736,0.0071670897,0.71590924,0.0
0.082990825,0.23612499,0.0047681034,0.71590924,0.0
0.08706719,0.23844552,0.003855173,0.71590924,0.0
0.09144199,0.24129629,0.004787301,0.71590924,0.0
0.09611511,0.2438848,0.0055716187,0.71590924,0.0
0.100191474,0.24586535,0.0062739505,0.71590924,0.0
0.103671074,0.24526048,0.006158801,0.71590924,0.0
0.10711753,0.24378586,0.005759013,0.71590924,0.0
0.11053091,0.2389009,0.0049087903,0.71590924,0.0
0.114655495,0.22892642,0.0038234033,0.71590924,0.0
0.11949116,0.21415973,0.0031536268,0.71590924,0.0
0.12638909,0.19948554,0.0035259943,0.7386365,0.0
0.1353494,0.184484,0.004607457,0.7386365,0.0
0.14336812,0.1729002,0.0063512055,0.7386365,0.0
0.15044558,0.16495848,0.008074962,0.7386365,0.0
0.1551944,0.1602614,0.009255683,0.7386365,0.0
0.15761495,0.15723014,0.010635948,0.71590924,0.0
0.16134274,0.15539336,0.013170327,0.6818185,0.0
0.16637778,0.15574217,0.015711762,0.6818185,0.0
0.17164648,0.1553812,0.018508289,0.72727275,0.0
0.17714846,0.15648031,0.023443136,0.77272725,0.0
0.18166435,0.1584928,0.030170131,0.81818175,0.0
0.18519413,0.16156507,0.03832543,0.90909123,0.0
0.18873668,0.16250682,0.04780014,0.87500024,0.0
0.19229221,0.16536832,0.055142615,0.80681825,0.0
0.19371462,0.16606975,0.059153326,0.7386365,0.0
0.19300401,0.16487837,0.060207866,0.636364,0.0
0.19256353,0.16097689,0.05498243,0.52272725,0.0
0.1923933,0.1578939,0.04343658,0.534091,0.0
0.18906593,0.15605521,0.032443114,0.56818175,0.0
0.18258154,0.15603137,0.023080986,0.55681825,0.0
0.1788857,0.15616298,0.014303214,0.61363673,0.0
0.17797816,0.15721226,0.008282522,0.67045474,0.0
0.17799234,0.15780377,0.006105465,0.693182,0.0
0.17892778,0.15623283,0.005266861,0.6818185,0.0
0.17568219,0.15403104,0.0046514147,0.71590924,0.0
0.16825569,0.15200996,0.0048898053,0.71590924,0.0
0.16270602,0.15133,0.005205866,0.71590924,0.0
0.15903306,0.15068674,0.005849528,0.71590924,0.0
0.15556085,0.1502769,0.006815795,0.71590924,0.0
0.15228927,0.15134215,0.0067140236,0.71590924,0.0
0.1499896,0.15180635,0.0054078866,0.71590924,0.0
0.14866173,0.15121055,0.004231751,0.71590924,0.0
0.1446402,0.15123057,0.0032700528,0.71590924,0.0
0.13792503,0.15229702,0.001942094,0.71590924,0.0
0.13272607,0.15191388,0.0014528851,0.71590924,0.0
0.1290437,0.15154934,0.0012335218,0.71590924,0.0
0.12554836,0.15030074,0.0011633975,0.693182,0.0
0.122240126,0.14939404,0.0011945316,0.61363673,0.0
0.11986089,0.15135312,0.0033824658,0.6477275,0.0
0.11841071,0.15999341,0.009740736,0.6477275,0.0
0.1170966,0.17683601,0.011707563,0.62500024,0.0
0.115918696,0.19299698,0.010679436,0.6477275,0.0
0.114328325,0.20738149,0.008912522,0.72727275,0.0
0.11232537,0.21829271,0.0075343233,0.693182,0.0
0.11055797,0.22412705,0.0054268586,0.693182,0.0
0.10902619,0.22370982,0.0035766424,0.71590924,0.0
0.10752332,0.22576118,0.0025617895,0.71590924,0.0
0.10604954,0.22889018,0.002493104,0.71590924,0.0
0.10272837,0.23186707,0.0027355636,0.6818185,0.0
0.09755981,0.2341342,0.002689276,0.6818185,0.0
0.09213406,0.23571062,0.0024492797,0.6818185,0.0
0.08645105,0.236166,0.0025768979,0.6818185,0.0
0.08214176,0.23695087,0.0030500498,0.6477275,0.0
0.07920599,0.2371211,0.003195983,0.6818185,0.0
0.07726842,0.23777771,0.0030510612,0.6818185,0.0
0.07632893,0.2378335,0.0026432392,0.6818185,0.0
0.0762589,0.23701334,0.0019470309,0.6818185,0.0
0.077058256,0.23744464,0.0011570575,0.71590924,0.0
0.075844586,0.23862481,0.0006857144,0.71590924,0.0
0.07261783,0.23726821,0.0005484212,0.71590924,0.0
0.07085049,0.23450804,0.00057318853,0.71590924,0.0
0.070542514,0.23225546,0.0005352101,0.71590924,0.0
0.068901956,0.22956944,0.00033485028,0.71590924,0.0
0.065928936,0.22804022,0.000111970585,0.71590924,0.0
0.0634864,0.22743535,3.6767917e-05,0.71590924,0.0
0.06157434,0.22858691,0.00068598613,0.72727275,0.0
0.06006235,0.22919369,0.0020937636,0.693182,0.0
0.058950365,0.227741,0.0035389997,0.65909123,0.0
0.05904907,0.22361588,0.0043207733,0.65909123,0.0
0.060358465,0.21748304,0.004511242,0.65909123,0.0
0.061020195,0.20928144,0.0039596404,0.6477275,0.0
0.06103432,0.19806147,0.0026747761,0.6818185,0.0
0.06159848,0.18426013,0.0014495081,0.71590924,0.0
0.06271267,0.16998577,0.00086351484,0.71590924,0.0
0.062489092,0.15660071,0.0007776548,0.71590924,0.0
0.06092769,0.14865875,0.0007970077,0.71590924,0.0
0.059244633,0.14173937,0.00085714995,0.71590924,0.0
0.057439804,0.13654923,0.0008363114,0.71590924,0.0
0.007941246,0.22505999,0.004362531,0.71590924,0.0
0.00835824,0.22335124,0.0056559294,0.71590924,0.0
0.009192288,0.22325969,0.0071838787,0.71590924,0.0
0.010474145,0.22298384,0.00866546,0.71590924,0.0
0.012203872,0.2216754,0.011007612,0.71590924,0.0
0.013856351,0.22261357,0.012006758,0.71590924,0.0
0.0154316425,0.22383285,0.011102993,0.71590924,0.0
0.017319798,0.2257216,0.009174573,0.71590924,0.0
0.01952058,0.22827768,0.0068421895,0.71590924,0.0
0.020980418,0.230232,0.0044175778,0.71590924,0.0
0.02169925,0.23149419,0.0030879416,0.71590924,0.0
0.023046434,0.23281431,0.0032034316,0.71590924,0.0
0.02502203,0.23320603,0.003195365,0.71590924,0.0
0.027251959,0.23425078,0.002967069,0.71590924,0.0
0.02973622,0.23668528,0.0026919888,0.71590924,0.0
0.032474875,0.23941946,0.0019690744,0.71590924,0.0
0.035467982,0.24155998,0.001400393,0.71590924,0.0
0.038384914,0.2430098,0.0012888932,0.71590924,0.0
0.04122579,0.2438519,0.0014033052,0.71590924,0.0
0.04443884,0.24408913,0.0016175057,0.71590924,0.0
0.048024178,0.24455452,0.0026943008,0.72727275,0.0
0.05047226,0.24532294,0.0046929396,0.72727275,0.0
0.051783025,0.24626374,0.007806792,0.70454574,0.0
0.053203344,0.24607849,0.008924098,0.6818185,0.0
0.054733038,0.2460494,0.0102251135,0.65909123,0.0
0.057223618,0.24511862,0.01184187,0.61363673,0.0
0.060674906,0.2435131,0.011429355,0.61363673,0.0
0.06334841,0.24203968,0.008511471,0.636364,0.0
0.06524432,0.24184036,0.007478236,0.65909123,0.0
0.06716263,0.24156976,0.006580013,0.6818185,0.0
0.06910354,0.24217534,0.0049003926,0.71590924,0.0
0.071467936,0.2456634,0.0042463336,0.71590924,0.0
0.07425594,0.24707222,0.0066207517,0.71590924,0.0
0.07643223,0.24626756,0.008816454,0.71590924,0.0
0.07799691,0.24542284,0.00978909,0.71590924,0.0
0.07960522,0.24443173,0.009210015,0.71590924,0.0
0.08125728,0.23983598,0.008460513,0.71590924,0.0
0.082858324,0.23699689,0.00705974,0.71590924,0.0
0.084408164,0.23656273,0.006330508,0.71590924,0.0
0.08397347,0.23385477,0.006058406,0.71590924,0.0
0.081554174,0.23041487,0.006957773,0.71590924,0.0
0.081828356,0.22869897,0.008928541,0.71590924,0.0
0.08479613,0.22989655,0.010348984,0.71590924,0.0
0.08657497,0.22999,0.010480694,0.71590924,0.0
0.08716482,0.2309978,0.010474448,0.71590924,0.0
0.08795047,0.23430896,0.01046183,0.6818185,0.0
0.08893192,0.23805642,0.008514739,0.6818185,0.0
0.09114891,0.23983693,0.0060753347,0.6818185,0.0
0.09460157,0.24194384,0.005119999,0.6818185,0.0
0.09864521,0.24434829,0.005458244,0.6818185,0.0
0.10327977,0.24508095,0.0051787104,0.71590924,0.0
0.10758716,0.24568248,0.005657873,0.71590924,0.0
0.11156738,0.24423695,0.005439519,0.71590924,0.0
0.11477411,0.24187279,0.004988649,0.71590924,0.0
0.11720717,0.23602581,0.004329746,0.71590924,0.0
0.12075925,0.22523999,0.0034810011,0.71590924,0.0
0.12543023,0.21020055,0.002958022,0.71590924,0.0
0.13167286,0.19567418,0.003287463,0.71590924,0.0
0.13948715,0.18147707,0.00431044,0.71590924,0.0
0.14702713,0.17096996,0.00624754,0.71590924,0.0
0.15429306,0.16493154,0.008502879,0.71590924,0.0
0.15946019,0.16095829,0.010334096,0.71590924,0.0
0.16252887,0.15761209,0.012059744,0.71590924,0.0
0.16636586,0.15604663,0.014635838,0.6818185,0.0
0.17097151,0.1559875,0.017004963,0.693182,0.0
0.17613041,0.15518689,0.019568823,0.75,0.0
0.18184245,0.15609169,0.024530422,0.7954545,0.0
0.18683076,0.15860939,0.031197134,0.840909,0.0
0.19109488,0.16180086,0.0394615,0.9318185,0.0
0.19508708,0.16314483,0.049774565,0.9318185,0.0
0.19880712,0.16550136,0.059646808,0.86363673,0.0
0.19996953,0.16551423,0.06594995,0.840909,0.0
0.1985743,0.16383886,0.067740664,0.784091,0.0
0.19788957,0.15938497,0.06339028,0.71590924,0.0
0.1979152,0.15563083,0.051883377,0.72727275,0.0
0.19492579,0.15371323,0.038900517,0.76136374,0.0
0.1889211,0.15458179,0.0268335,0.70454574,0.0
0.18485785,0.15518212,0.017053623,0.71590924,0.0
0.18273592,0.15656924,0.010079123,0.72727275,0.0
0.18054831,0.15769267,0.0074069705,0.70454574,0.0
0.17829478,0.1570797,0.006222712,0.6818185,0.0
0.17487097,0.15476727,0.005576385,0.71590924,0.0
0.17027676,0.15260339,0.005691966,0.71590924,0.0
0.16602087,0.15208507,0.0060491515,0.71590924,0.0
0.1621033,0.15154147,0.0063428367,0.71590924,0.0
0.15822601,0.15050197,0.0064828126,0.71590924,0.0
0.15438902,0.15130234,0.0060197366,0.71590924,0.0
